cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_0012_00001,allée Abbé Desgranges,1,,OI0007,1562564.24420000,5184063.75560000,1.23050651,45.84287475
87085_0011_00018,allée Abbé Grégoire,18,,HR0378,1565189.99910000,5181285.35580000,1.26508153,45.81840119
87085_0011_00020,allée Abbé Grégoire,20,,HR0378,1565177.27950000,5181270.27840000,1.26492211,45.81826306
87085_0011_00022,allée Abbé Grégoire,22,,HR0378,1565161.41940000,5181252.96560000,1.26472292,45.81810422
87085_0023_00004,allée Adrienne Bolland,4,,EX0304,1565800.29660000,5180714.16660000,1.27309255,45.81338231
87085_0023_00006,allée Adrienne Bolland,6,,EX0305,1565784.56140000,5180701.11440000,1.27289378,45.81326183
87085_0023_00008,allée Adrienne Bolland,8,,EX0306,1565773.41600000,5180692.12950000,1.27275291,45.81317883
87085_0023_00010,allée Adrienne Bolland,10,,EX0307,1565774.81150000,5180683.99710000,1.27277313,45.81310594
87085_0043_00004,allée Agatha Christie,4,,MW0022,1567092.42760000,5190745.06100000,1.28693901,45.90386736
87085_0043_00006,allée Agatha Christie,6,,MW0072,1567095.54880000,5190702.80220000,1.28699094,45.90348783
87085_0043_00007,allée Agatha Christie,7,,MY0004,1567102.71180000,5190731.33260000,1.28707532,45.90374586
87085_0043_00009,allée Agatha Christie,9,,MY0169,1567106.66490000,5190662.40900000,1.28714500,45.90312700
87085_0043_00011,allée Agatha Christie,11,,MY0168,1567108.19430000,5190637.89660000,1.28717186,45.90290641
87085_0043_00011_bis,allée Agatha Christie,11,bis,MY0167,1567108.99610000,5190625.37300000,1.28718566,45.90279391
87085_0043_00012,allée Agatha Christie,12,,MW0025,1567101.98620000,5190589.04440000,1.28710541,45.90246575
87085_0043_00014,allée Agatha Christie,14,,MW0131,1567109.93530000,5190554.54320000,1.28721739,45.90215693
87085_0043_00015,allée Agatha Christie,15,,MY0056,1567111.14550000,5190596.76670000,1.28722128,45.90253699
87085_0043_00018,allée Agatha Christie,18,,MW0132,1567124.20950000,5190486.79930000,1.28742000,45.90155000
87085_0043_00021,allée Agatha Christie,21,,MY0055,1567141.25410000,5190496.37140000,1.28763704,45.90163970
87085_0043_00023,allée Agatha Christie,23,,MY0055,1567158.42920000,5190501.65670000,1.28785687,45.90169057
87085_0043_00025,allée Agatha Christie,25,,MY0054,1567174.72570000,5190506.44410000,1.28806552,45.90173679
87085_0044_00001,allée Agnès Varda,1,,LC0003,1568035.00440000,5190849.80820000,1.29905545,45.90499137
87085_0044_00002,allée Agnès Varda,2,,LC0003,1568026.82880000,5190842.50570000,1.29895212,45.90492411
87085_0044_00003,allée Agnès Varda,3,,LC0003,1568041.75130000,5190850.33740000,1.29914224,45.90499743
87085_0044_00004,allée Agnès Varda,4,,LC0003,1568037.22690000,5190843.29950000,1.29908588,45.90493325
87085_0044_00005,allée Agnès Varda,5,,LC0003,1568057.36170000,5190851.79260000,1.29934299,45.90501352
87085_0044_00006,allée Agnès Varda,6,,LC0003,1568048.26000000,5190844.01390000,1.29922785,45.90494180
87085_0044_00007,allée Agnès Varda,7,,LC0003,1568063.51330000,5190852.38790000,1.29942209,45.90502006
87085_0044_00008,allée Agnès Varda,8,,LC0003,1568059.45190000,5190844.96640000,1.29937180,45.90495252
87085_0044_00009,allée Agnès Varda,9,,LC0003,1568076.34560000,5190852.98320000,1.29958728,45.90502788
87085_0044_00010,allée Agnès Varda,10,,LC0003,1568069.05630000,5190845.52200000,1.29949540,45.90495936
87085_0044_00011,allée Agnès Varda,11,,LC0001,1568095.06490000,5190852.93030000,1.29982850,45.90503100
87085_0044_00012,allée Agnès Varda,12,,LC0001,1568092.86880000,5190846.42159999,1.29980200,45.90497200
87085_0044_00014,allée Agnès Varda,14,,LC0001,1568108.63800000,5190848.06200000,1.30000470,45.90498980
87085_0044_00015,allée Agnès Varda,15,,LC0001,1568098.76910000,5190853.19490000,1.29987620,45.90503410
87085_0044_00016,allée Agnès Varda,16,,LC0001,1568117.31640000,5190848.69700000,1.30011640,45.90499720
87085_0044_00017,allée Agnès Varda,17,,LC0001,1568115.17330000,5190854.25319998,1.30008720,45.90504680
87085_0044_00018,allée Agnès Varda,18,,LC0001,1568131.76270000,5190877.82770000,1.30029450,45.90526200
87085_0044_00019,allée Agnès Varda,19,,LC0001,1568118.61290000,5190854.71620000,1.30013140,45.90505160
87085_0044_00020,allée Agnès Varda,20,,LC0002,1568129.77830000,5190898.86210000,1.30026320,45.90545080
87085_0114_00001,allée Alfred Jarry,1,,OA0311,1565306.48950000,5179521.13630000,1.26707412,45.80255374
87085_0114_00002,allée Alfred Jarry,2,,OA0308,1565304.76980000,5179530.26440000,1.26704945,45.80263551
87085_0114_00003,allée Alfred Jarry,3,,OA0312,1565300.27180000,5179520.07800000,1.26699445,45.80254300
87085_0114_00004,allée Alfred Jarry,4,,OA0309,1565297.75830000,5179528.94150000,1.26695964,45.80262224
87085_0114_00005,allée Alfred Jarry,5,,OA0313,1565282.54470000,5179516.24150000,1.26676752,45.80250502
87085_0114_00006,allée Alfred Jarry,6,,OA0310,1565280.95720000,5179525.36960000,1.26674455,45.80258682
87085_0121_00001,allée Alfred Leclerc,1,,PZ0127,1561814.69050000,5184065.70129999,1.22085860,45.84274202
87085_0121_00002,allée Alfred Leclerc,2,,PZ0128,1561832.25870000,5184077.44870000,1.22108134,45.84285123
87085_0121_00003,allée Alfred Leclerc,3,,PZ0126,1561820.08800000,5184093.42969999,1.22092010,45.84299254
87085_0121_00004,allée Alfred Leclerc,4,,PZ0129,1561837.76200000,5184089.19620000,1.22114879,45.84295801
87085_0121_00005,allée Alfred Leclerc,5,,PZ0125,1561799.55630000,5184103.16640000,1.22065304,45.84307600
87085_0121_00006,allée Alfred Leclerc,6,,PZ0133,1561838.29120000,5184094.59370000,1.22115405,45.84300667
87085_0121_00007,allée Alfred Leclerc,7,,PZ0122,1561788.76130000,5184108.35220000,1.22051261,45.84312048
87085_0121_00008,allée Alfred Leclerc,8,,PZ0131,1561830.14200000,5184100.83790000,1.22104737,45.84306120
87085_0121_00009,allée Alfred Leclerc,9,,PZ0134,1561786.64460000,5184112.26800000,1.22048424,45.84315528
87085_0121_00010,allée Alfred Leclerc,10,,PZ0132,1561813.31450000,5184109.19880000,1.22082838,45.84313303
87085_0121_00011,allée Alfred Leclerc,11,,PZ0136,1561788.86710000,5184117.87720000,1.22051123,45.84320618
87085_0121_00012,allée Alfred Leclerc,12,,PZ0116,1561819.55870000,5184141.58390000,1.22089944,45.84342560
87085_0121_00014,allée Alfred Leclerc,14,,PZ0117,1561823.15700000,5184162.43310000,1.22093976,45.84361387
87085_0121_00015,allée Alfred Leclerc,15,,PZ0110,1561799.66210000,5184144.75890000,1.22064244,45.84345016
87085_0121_00016,allée Alfred Leclerc,16,,PZ0118,1561830.35370000,5184180.63650000,1.22102715,45.84377907
87085_0121_00017,allée Alfred Leclerc,17,,PZ0109,1561803.89540000,5184155.76560000,1.22069376,45.84355002
87085_0121_00018,allée Alfred Leclerc,18,,PZ0119,1561835.01040000,5184192.48990000,1.22108368,45.84388663
87085_0121_00019,allée Alfred Leclerc,19,,PZ0108,1561808.44620000,5184172.80480000,1.22074743,45.84370422
87085_0121_00021,allée Alfred Leclerc,21,,PZ0107,1561812.57370000,5184183.07070000,1.22079761,45.84379739
87085_0121_00023,allée Alfred Leclerc,23,,PZ0106,1561815.74870000,5184191.96070000,1.22083591,45.84387800
87085_0121_00025,allée Alfred Leclerc,25,,PZ0105,1561818.60620000,5184198.31070000,1.22087087,45.84393569
87085_0123_00001,allée Alfred Leroux,1,,NN0103,1562932.98300000,5181219.67240000,1.23606331,45.81736431
87085_0123_00005,allée Alfred Leroux,5,,NN0112,1562877.60400000,5181310.23180000,1.23532505,45.81816790
87085_0123_00009,allée Alfred Leroux,9,,NN0107,1562882.99380000,5181358.23560000,1.23538070,45.81860080
87085_0197_00001,allée Andersen,1,,CR0257,1566518.78830000,5184043.92340000,1.28141097,45.84347542
87085_0197_00003,allée Andersen,3,,CR0256,1566504.60310000,5184039.50270000,1.28122962,45.84343289
87085_0197_00005,allée Andersen,5,,CR0255,1566487.14290000,5184033.33390000,1.28100660,45.84337401
87085_0197_00006,allée Andersen,6,,CR0253,1566481.02110000,5184043.45270000,1.28092499,45.84346385
87085_0197_00007,allée Andersen,7,,CR0254,1566478.42820000,5184034.65580000,1.28089406,45.84338421
87085_0202_00006,allée André Breton,6,,HN0106,1564939.07470000,5179715.36840000,1.26229406,45.80422896
87085_0202_00008,allée André Breton,8,,HN0108,1565002.03450000,5179733.96350000,1.26309863,45.80440859
87085_0202_00009,allée André Breton,9,,HN0109,1564948.68510000,5179688.22080000,1.26242529,45.80398663
87085_0202_00010,allée André Breton,10,,HN0042,1564655.29100000,5179611.64830000,1.25867320,45.80324017
87085_0199_00005,allée Andrée Salomon,5,,LI0073,1567925.94170000,5189618.88409999,1.29798900,45.89389800
87085_0199_00008,allée Andrée Salomon,8,,LI0071,1567893.39190000,5189608.42210000,1.29757270,45.89379710
87085_0208_00001,allée André Maurois,1,,OK0039,1562320.56430000,5183176.33870000,1.22762435,45.83484324
87085_0208_00012,allée André Maurois,12,,AY0227,1562553.10240000,5183257.79530000,1.23059359,45.83562250
87085_0208_00014,allée André Maurois,14,,AY0227,1562532.92790000,5183277.30840000,1.23032838,45.83579400
87085_0219_00001,allée Annie Fratellini,1,,RP0066,1562055.64400000,5184723.42340000,1.22377104,45.84870694
87085_0219_00002,allée Annie Fratellini,2,,RP0281,1562040.61950000,5184723.43020000,1.22357764,45.84870398
87085_0219_00003,allée Annie Fratellini,3,,RP0282,1562036.21360000,5184704.28970000,1.22352642,45.84853092
87085_0219_00004,allée Annie Fratellini,4,,RP0280,1562022.49380000,5184705.00390000,1.22334962,45.84853459
87085_0219_00005,allée Annie Fratellini,5,,RP0118,1562020.56260000,5184688.96490000,1.22332936,45.84838992
87085_0219_00006,allée Annie Fratellini,6,,RP0115,1562008.20850000,5184690.78940000,1.22316982,45.84840386
87085_0219_00008,allée Annie Fratellini,8,,RP0114,1561991.93690000,5184674.75170000,1.22296497,45.84825632
87085_0219_00009,allée Annie Fratellini,9,,RP0119,1562005.80170000,5184652.30020000,1.22314989,45.84805715
87085_0219_00010,allée Annie Fratellini,10,,RP0130,1561986.00530000,5184662.87770000,1.22289203,45.84814832
87085_0219_00011,allée Annie Fratellini,11,,RP0120,1562024.80460000,5184633.01510000,1.22340003,45.84788748
87085_0219_00012,allée Annie Fratellini,12,,RP0129,1561993.24580000,5184650.55810000,1.22298877,45.84803895
87085_0219_00014,allée Annie Fratellini,14,,RP0128,1562008.32450000,5184635.07000000,1.22318731,45.84790266
87085_0219_00015,allée Annie Fratellini,15,,RP0121,1562041.50250000,5184616.31530000,1.22361976,45.84774061
87085_0219_00016,allée Annie Fratellini,16,,RP0127,1562023.53780000,5184619.87380000,1.22338750,45.84776901
87085_0219_00017,allée Annie Fratellini,17,,PY0048,1562053.49990000,5184605.24270000,1.22377737,45.84764341
87085_0219_00018,allée Annie Fratellini,18,,RP0126,1562035.35920000,5184607.47610000,1.22354322,45.84765986
87085_0219_00020,allée Annie Fratellini,20,,PY0046,1562053.55150000,5184592.45730000,1.22378171,45.84752841
87085_0219_00021,allée Annie Fratellini,21,,PY0038,1562113.99570000,5184585.36500000,1.22456177,45.84747674
87085_0219_00022,allée Annie Fratellini,22,,PY0045,1562073.86910000,5184582.20940000,1.22404617,45.84744030
87085_0219_00023,allée Annie Fratellini,23,,PY0039,1562140.57520000,5184576.81420000,1.22490635,45.84740515
87085_0219_00024,allée Annie Fratellini,24,,PY0044,1562115.58460000,5184574.33990000,1.22458539,45.84737788
87085_0219_00025,allée Annie Fratellini,25,,PY0040,1562162.65900000,5184573.78920000,1.22519148,45.84738237
87085_0219_00026,allée Annie Fratellini,26,,PY0043,1562144.91870000,5184560.82270000,1.22496685,45.84726217
87085_0219_00028,allée Annie Fratellini,28,,PY0042,1562158.98360000,5184547.91210000,1.22515159,45.84714885
87085_0228_00001,allée Antonin Artaud,1,,OA0325,1565294.31870000,5179580.40300000,1.26690099,45.80308450
87085_0228_00002,allée Antonin Artaud,2,,OA0302,1565292.25490000,5179588.73730000,1.26687212,45.80315907
87085_0228_00003,allée Antonin Artaud,3,,OA0325,1565287.73060000,5179579.05360000,1.26681664,45.80307107
87085_0228_00004,allée Antonin Artaud,4,,OA0303,1565285.50800000,5179587.46730000,1.26678570,45.80314632
87085_0228_00005,allée Antonin Artaud,5,,OA0325,1565270.10930000,5179575.48170000,1.26659100,45.80303549
87085_0228_00006,allée Antonin Artaud,6,,OA0304,1565267.72800000,5179583.73670000,1.26655806,45.80310928
87085_0227_00001,allée Antonin Magne,1,,NZ0326,1565226.18690000,5186404.25510000,1.26411157,45.86445581
87085_0227_00002,allée Antonin Magne,2,,NZ0326,1565227.33980000,5186399.01540000,1.26412789,45.86440891
87085_0227_00003,allée Antonin Magne,3,,NZ0326,1565232.09780000,5186405.25300000,1.26418740,45.86446595
87085_0227_00004,allée Antonin Magne,4,,NZ0326,1565233.85250000,5186400.53160000,1.26421132,45.86442382
87085_0227_00005,allée Antonin Magne,5,,NZ0326,1565238.53890000,5186407.14330000,1.26426980,45.86448422
87085_0227_00006,allée Antonin Magne,6,,NZ0326,1565239.99240000,5186402.12540000,1.26428993,45.86443936
87085_0227_00007,allée Antonin Magne,7,,NZ0326,1565245.20410000,5186409.03170000,1.26435509,45.86450251
87085_0227_00008,allée Antonin Magne,8,,NZ0326,1565246.87930000,5186403.71320000,1.26437816,45.86445500
87085_0227_00009,allée Antonin Magne,9,,NZ0326,1565252.76600000,5186410.91290000,1.26445193,45.86452092
87085_0227_00010,allée Antonin Magne,10,,NZ0326,1565253.46870000,5186405.45270000,1.26446251,45.86447194
87085_0227_00011,allée Antonin Magne,11,,NZ0326,1565258.90710000,5186412.65610000,1.26453052,45.86453780
87085_0227_00012,allée Antonin Magne,12,,NZ0326,1565260.35930000,5186407.48870000,1.26455067,45.86449160
87085_0227_00014,allée Antonin Magne,14,,NZ0326,1565267.54580000,5186409.14890000,1.26464273,45.86450795
87085_0227_00015,allée Antonin Magne,15,,NZ0326,1565266.39530000,5186414.68730000,1.26462636,45.86455754
87085_0269_00001,allée Aristide Berges,1,,MD0018,1565243.05360000,5187944.54140000,1.26389638,45.87831485
87085_0269_00002,allée Aristide Berges,2,,MD0026,1565239.55350000,5187952.31800000,1.26384912,45.87838412
87085_0269_00003,allée Aristide Berges,3,,MD0019,1565221.02970000,5187938.04790000,1.26361456,45.87825212
87085_0269_00004,allée Aristide Berges,4,,MD0024,1565215.14500000,5187955.06900000,1.26353399,45.87840408
87085_0269_00005,allée Aristide Berges,5,,MD0021,1565210.23940000,5187939.74710000,1.26347511,45.87826529
87085_0269_00006,allée Aristide Berges,6,,MD0022,1565206.08100000,5187947.94410000,1.26341925,45.87833821
87085_0271_00006,allée Arlette Téphany,6,,MS0183,1565692.22360000,5189679.63910000,1.26919563,45.89401095
87085_0271_00008,allée Arlette Téphany,8,,MS0184,1565671.26860000,5189687.04740000,1.26892360,45.89407350
87085_0271_00009,allée Arlette Téphany,9,,MS0197,1565658.35690000,5189676.88730000,1.26876011,45.89397958
87085_0271_00010,allée Arlette Téphany,10,,MS0185,1565652.21860000,5189694.66740000,1.26867605,45.89413832
87085_0271_00011,allée Arlette Téphany,11,,MS0196,1565625.33680000,5189688.95230000,1.26833133,45.89408165
87085_0271_00012,allée Arlette Téphany,12,,MS0186,1565632.32190000,5189702.28740000,1.26841759,45.89420297
87085_0271_00014,allée Arlette Téphany,14,,MS0187,1565616.65850000,5189707.79070000,1.26821426,45.89424941
87085_0271_00015,allée Arlette Téphany,15,,MS0195,1565599.30170000,5189698.90070000,1.26799314,45.89416605
87085_0271_00016,allée Arlette Téphany,16,,MS0188,1565626.60690000,5189746.52580000,1.26833157,45.89459980
87085_0271_00017,allée Arlette Téphany,17,,MS0194,1565580.25170000,5189705.88570000,1.26774577,45.89422515
87085_0271_00018,allée Arlette Téphany,18,,MS0188,1565627.32130000,5189751.18249999,1.26833947,45.89464183
87085_0271_00020,allée Arlette Téphany,20,,MS0189,1565625.33690000,5189755.41580000,1.26831272,45.89467952
87085_0271_00022,allée Arlette Téphany,22,,MS0190,1565620.68020000,5189756.47409999,1.26825243,45.89468813
87085_0271_00024,allée Arlette Téphany,24,,MS0191,1565614.11850000,5189754.99240000,1.26816831,45.89467352
87085_0271_00026,allée Arlette Téphany,26,,MS0192,1565608.19180000,5189741.02240000,1.26809587,45.89454669
87085_0271_00028,allée Arlette Téphany,28,,MS0193,1565602.26510000,5189724.93570000,1.26802402,45.89440083
87085_0292_00002,allée Athalie,2,,LT0322,1567713.25180000,5187179.35900000,1.29592157,45.87191155
87085_0292_00003,allée Athalie,3,,LT0323,1567700.11410000,5187192.77340000,1.29574869,45.87202969
87085_0292_00004,allée Athalie,4,,LT0321,1567714.10880000,5187185.84030000,1.29593082,45.87197001
87085_0292_00005,allée Athalie,5,,LT0324,1567688.02360000,5187194.29340000,1.29559257,45.87204103
87085_0292_00006,allée Athalie,6,,LT0320,1567724.55470000,5187210.67970000,1.29605850,45.87219547
87085_0292_00007,allée Athalie,7,,LT0306,1567686.07490000,5187199.61410000,1.29556601,45.87208852
87085_0292_00008,allée Athalie,8,,LT0319,1567733.69830000,5187218.75600000,1.29617402,45.87226988
87085_0292_00009,allée Athalie,9,,LT0305,1567687.16360000,5187208.68690000,1.29557753,45.87217035
87085_0292_00010,allée Athalie,10,,LT0318,1567742.22380000,5187226.32830000,1.29628173,45.87233964
87085_0292_00011,allée Athalie,11,,LT0304,1567691.00270000,5187212.65710000,1.29562588,45.87220680
87085_0292_00012,allée Athalie,12,,LT0317,1567755.97380000,5187238.74300000,1.29645538,45.87245396
87085_0292_00014,allée Athalie,14,,LT0316,1567760.73840000,5187242.81570000,1.29651561,45.87249152
87085_0292_00015,allée Athalie,15,,LT0303,1567701.05250000,5187211.71390000,1.29575555,45.87220025
87085_0292_00016,allée Athalie,16,,LT0315,1567766.41910000,5187251.39600000,1.29658640,45.87256980
87085_0292_00017,allée Athalie,17,,LT0307,1567723.97520000,5187223.42930000,1.29604752,45.87231005
87085_0292_00018,allée Athalie,18,,LT0314,1567762.24630000,5187256.30100000,1.29653132,45.87261312
87085_0292_00019,allée Athalie,19,,LT0308,1567733.65980000,5187231.85300000,1.29616992,45.87238769
87085_0292_00020,allée Athalie,20,,LT0313,1567757.18350000,5187261.86780000,1.29646458,45.87266222
87085_0292_00021,allée Athalie,21,,LT0309,1567739.04930000,5187247.17510000,1.29623510,45.87252656
